Area,Area_Encontrada,ID
A009,1,2441
A009,1,2458
A009,1,2462
A009,1,2479
A009,1,2511
A007,1,2659
A007,1,2719
A006,1,2954
A006,1,2976
A006,1,2982
A006,1,3007
A005,1,3057
A005,1,3060
A005,1,3089
A005,1,3101
A005,1,3112
A003,1,3239
A003,1,3240
A003,1,3249
A003,1,3256
A003,1,3293
A003,1,3300
A003,1,3311
A002,1,3333
A002,1,3339
A002,1,3348
A002,1,3356
A002,1,3362
A002,1,3392
A002,1,3407
A002,1,3416
A002,1,3418
A002,1,3426
A001,1,3443
A001,1,3448
A001,1,3451
A001,1,3455
A001,1,3457
A001,1,3464
A001,1,3471
A001,1,3473
A001,1,3474
A001,1,3475
A001,1,3480
A001,1,3481
A001,1,3482
A001,1,3483
A001,1,3484
A001,1,3487
A001,1,3488
A001,1,3491
A001,1,3492
A001,1,3502
A001,1,3506
A001,1,3507
A001,1,3511
A001,1,3514
A001,1,3517
A001,1,3518
A001,1,3519
A001,1,3534
A010,2,2356
A009,2,2430
A009,2,2509
A008,2,2536
A008,2,2537
A008,2,2545
A008,2,2554
A008,2,2562
A008,2,2569
A008,2,2577
A008,2,2585
A008,2,2599
A008,2,2600
A008,2,2607
A007,2,2616
A007,2,2624
A007,2,2634
A007,2,2640
A007,2,2642
A007,2,2649
A007,2,2670
A007,2,2686
A007,2,2707
A007,2,2716
A007,2,2718
A006,2,2947
A006,2,2949
A006,2,2960
A006,2,2962
A006,2,2991
A006,2,2997
A006,2,3025
A006,2,3026
A005,2,3045
A005,2,3065
A005,2,3078
A005,2,3121
A005,2,3122
A004,2,3186
A004,2,3215
A004,2,3224
A003,2,3262
A003,2,3271
A003,2,3281
A003,2,3286
A002,2,3332
A002,2,3342
A002,2,3350
A002,2,3355
A002,2,3369
A002,2,3370
A002,2,3373
A002,2,3375
A002,2,3378
A002,2,3385
A002,2,3391
A002,2,3399
A002,2,3400
A002,2,3403
A002,2,3408
A002,2,3411
A002,2,3414
A002,2,3425
A002,2,3433
A002,2,3434
A001,2,3441
A001,2,3442
A001,2,3447
A001,2,3452
A001,2,3456
A001,2,3463
A001,2,3465
A001,2,3466
A001,2,3467
A001,2,3469
A001,2,3472
A001,2,3476
A001,2,3477
A001,2,3478
A001,2,3479
A001,2,3495
A001,2,3496
A001,2,3499
A001,2,3504
A001,2,3509
A001,2,3522
A001,2,3523
A001,2,3526
A001,2,3527
A001,2,3530
A001,2,3531
A001,2,3539
A001,2,3541
A001,2,3543
A011,3,2226
A011,3,2237
A011,3,2276
A010,3,2340
A010,3,2348
A010,3,2366
A010,3,2377
A010,3,2379
A010,3,2391
A009,3,2438
A009,3,2459
A009,3,2460
A009,3,2490
A009,3,2499
A009,3,2500
A009,3,2523
A008,3,2591
A007,3,2685
A005,3,3113
A003,3,3241
A003,3,3243
A003,3,3248
A003,3,3251
A003,3,3259
A003,3,3265
A003,3,3268
A003,3,3273
A003,3,3275
A003,3,3278
A003,3,3283
A003,3,3289
A003,3,3292
A003,3,3297
A003,3,3304
A003,3,3307
A003,3,3314
A003,3,3317
A003,3,3320
A003,3,3323
A003,3,3326
A002,3,3336
A002,3,3345
A002,3,3352
A002,3,3359
A002,3,3365
A002,3,3366
A002,3,3374
A002,3,3379
A002,3,3381
A002,3,3383
A002,3,3388
A002,3,3395
A002,3,3404
A002,3,3412
A002,3,3419
A002,3,3422
A002,3,3429
A002,3,3430
A001,3,3454
A001,3,3462
A001,3,3535
A025,4,816
A025,4,861
A024,4,865
A024,4,869
A024,4,873
A024,4,874
A024,4,878
A010,4,2406
A007,4,2636
A007,4,2654
A033Front,4,2744
A033Parking,4,2836
A033Parking,4,2838
A033Parking,4,2839
A033Parking,4,2841
A033Parking,4,2842
A033Parking,4,2844
A033Parking,4,2847
A033Parking,4,2849
A033Parking,4,2881
A006,4,2955
A006,4,2956
A006,4,2958
A006,4,2959
A006,4,2965
A006,4,2969
A006,4,2971
A006,4,2977
A006,4,2978
A006,4,2986
A006,4,2987
A006,4,3003
A006,4,3008
A006,4,3009
A006,4,3011
A006,4,3012
A006,4,3017
A006,4,3019
A005,4,3028
A005,4,3039
A005,4,3040
A005,4,3047
A005,4,3048
A005,4,3050
A005,4,3051
A005,4,3058
A005,4,3059
A005,4,3062
A005,4,3063
A005,4,3068
A005,4,3069
A005,4,3079
A005,4,3080
A005,4,3083
A005,4,3084
A005,4,3090
A005,4,3091
A005,4,3094
A005,4,3095
A005,4,3102
A005,4,3103
A005,4,3105
A005,4,3107
A005,4,3108
A005,4,3114
A005,4,3117
A005,4,3123
A005,4,3126
A004,4,3131
A004,4,3133
A004,4,3134
A004,4,3136
A004,4,3137
A004,4,3140
A004,4,3144
A004,4,3145
A004,4,3160
A004,4,3161
A004,4,3163
A004,4,3167
A004,4,3168
A004,4,3171
A004,4,3179
A004,4,3191
A004,4,3199
A004,4,3200
A004,4,3206
A004,4,3207
A004,4,3210
A004,4,3217
A004,4,3218
A004,4,3221
A004,4,3225
A004,4,3227
A004,4,3228
A004,4,3230
A004,4,3231
A004,4,3233
A004,4,3234
A002,4,3341
A002,4,3380
A001,4,3444
A001,4,3449
A001,4,3450
A001,4,3453
A001,4,3458
A001,4,3459
A001,4,3486
A001,4,3489
A001,4,3490
A001,4,3493
A001,4,3494
A001,4,3501
A001,4,3503
A001,4,3505
A001,4,3513
A001,4,3515
A001,4,3516
A001,4,3524
A001,4,3525
A001,4,3528
A001,4,3529
A001,4,3536
A001,4,3537
A001,4,3540
A018,5,1531
A015,5,1769
A013,5,1926
A013,5,1949
A013,5,1958
A013,5,1973
A013,5,2000
A013,5,2025
